label,sub_bass_0,bass_0,lower_midrange_0,mid_range_0,higher_midrange_0,presence_0,brilliance_0
Frozen,14.244221958245781,17.458895069677812,18.807612292728678,17.279736134081965,16.172341231606488,15.414690117776646,12.990748854152317
Frozen,16.165724652652255,15.91763351102777,15.239806091697567,19.240332049657916,17.96798984381544,17.54238093054614,16.647829674582553
Frozen,17.897542014820516,15.936402232098926,14.624859695437369,17.600012084717832,17.458049218915416,12.9731190407565,13.369223146090285
Frozen,11.525997519258372,16.784991542879855,16.463889801297118,14.788462988961914,13.730932563783089,12.173210003405057,10.658409341854439
Frozen,12.808260556843283,16.89029546371634,14.774676804827807,18.966533468171058,18.141185830876083,13.64290926361755,12.75967463222784
Frozen,16.459219680921056,16.573690017155798,14.832531877700452,19.26250105827274,15.466391644560955,15.05594145124203,13.935362699038295
Frozen,11.87007122618088,17.695430358732008,17.376789465189074,16.222651562829565,13.87820524926533,13.68155419097505,13.050344723145148
Frozen,12.917846715491441,14.670717445533676,14.450568982986587,19.709792054657715,14.025229425111679,12.048937624711876,11.867567806873483
Frozen,11.277499848651825,17.499552865230974,16.78796050242261,15.438234722658578,13.077491034276056,11.663480896607402,11.498959695171873
Frozen,10.416749832434999,14.275023854519388,18.37070081821097,16.92108768355012,13.744287029550414,13.059390043007207,11.880241236350164
Frozen,15.8494673998469,18.53472382799489,17.5420163980563,17.630580612046483,15.894128049764706,14.3195995363705,14.032989656249004
Frozen,15.463524199850548,16.898962586677644,18.88744139305811,19.468784288579293,16.674298160433104,15.35772390295815,13.275361886509163
Frozen,12.471570432227635,18.031028558206085,19.16977579166618,17.27456032271911,15.253180132887342,14.880306923216104,13.187421565325275
Frozen,11.476825777988282,18.26408698965044,16.12928643486159,15.137783448312613,13.595762477745552,11.919247897266223,11.640999068595898
Frozen,15.397108587932083,13.790591188696359,13.032306664213197,16.275457988366245,18.182567421344626,14.161059879574406,13.634930651118363
Frozen,11.90333639981251,16.905472109871813,18.06287660910226,14.254911886094604,12.332065200129131,11.790531284493934,11.877054751319825
Frozen,15.821403399352421,18.490286031708752,17.429427874960982,15.95705013953653,15.214837499505943,12.612905719859674,13.36040797020671
Frozen,16.185693260185083,16.188744669377435,15.481363623062691,20.25154981084916,18.08912083999516,17.77047106773209,15.991512890725893
Frozen,14.504895780208347,15.41218519483135,13.765398284540867,18.77222144081995,18.65980679249842,13.765530612023749,14.552474359688345
Frozen,16.091099689721943,14.637513024421354,13.74139042056153,18.825834625114908,14.615555253972213,13.318395642775345,11.483420504817722
Frozen,11.280211516979119,16.687581991208518,16.857455628988976,15.692950462542722,13.140657728378994,11.302452438798205,12.384007310129837
Frozen,13.896684785368452,16.512412450427924,15.240998091125672,15.386550064412631,12.073718746066982,11.174237097809973,10.262287810279929
Frozen,14.167633640887779,16.653601828554685,19.106741247133463,18.040812941122052,15.623998649973833,15.121744039502868,13.535771946639837
Frozen,14.703685715703323,18.923290333747065,17.774332351808077,17.656571953567756,14.452989278003361,13.29288363033748,12.102552984066662
Frozen,14.510426214325706,18.031457886827983,17.463864643983207,16.914968673857718,15.542492281167021,13.242571545607978,13.572791484414774
Frozen,15.299477695997812,15.394546844927415,15.89634630647212,15.82132362145333,19.725399988698967,13.482889724475587,12.862254828261948
Frozen,12.08706618110258,17.258680487925016,17.306814600862914,16.644949476849145,14.450399482936277,12.356776983981296,13.068735686029889
Frozen,11.40970830774102,13.47118129861347,12.350631892322639,18.175741079434538,17.045754741294328,13.109074778464507,12.257939622334986
Frozen,13.135990385469555,16.655979084976,18.28827756779273,18.087981206890674,14.623507817132063,14.58237006136387,12.536434056607874
Frozen,11.073181680542133,17.512027234696408,17.512408667022306,14.967161735073207,13.913116683230339,11.24676802931301,11.053455875539928
Frozen,13.338841044109941,18.166400295354048,17.184696649310546,16.38831169320913,14.679463736012845,12.410950397913275,13.125301373664914
